ContentKey,FishKey,Prey_OS_ID,Scientific Name,CommonName,Aphia_ID,Prey_Detail_Code,PreyWt,Prey_Count,OS_ID,Length,Year,Trawl_ID,Study Area,Start Depth,End Depth,Start Lat Degree,Start Lat Minutes,Start Long Degree,Start Long Minutes
62114013_892_3_1_1005_1680,62114013_892_3_1_1005,8112,PANDALUS MONTAGUI,SHRIMP,107651,,0.934,1,892,25.3,2019,62114013,2G,182,184,58,33.3829,62,5.1611
62114013_892_3_1_1005_1681,62114013_892_3_1_1005,8112,PANDALUS MONTAGUI,SHRIMP,107651,,2.404,2,892,25.3,2019,62114013,2G,182,184,58,33.3829,62,5.1611
62114013_892_3_1_-42_1692,62114013_892_3_1_-42,717,LUMPENUS MACULATUS = LEPTOCLINUS MACULATUS,DAUBED SHANNY,127072,88,6.787,1,892,34,2019,62114013,2G,182,184,58,33.3829,62,5.1611
62114013_892_3_1_-42_1693,62114013_892_3_1_-42,8020,NATANTIA = DENDROBRANCHIATA,SHRIMP/SHRIMP SAMPLE,106669,,7.787,1,892,34,2019,62114013,2G,182,184,58,33.3829,62,5.1611
62114014_892_3_1_-63_380,62114014_892_3_1_-63,8112,PANDALUS MONTAGUI,SHRIMP,107651,,1.545,1,892,19,2019,62114014,2G,161,163,58,32.515,61,56.0237
62114014_892_3_1_-63_381,62114014_892_3_1_-63,8020,NATANTIA = DENDROBRANCHIATA,SHRIMP/SHRIMP SAMPLE,106669,81,1.475,,892,19,2019,62114014,2G,161,163,58,32.515,61,56.0237
62114014_892_3_1_-64_382,62114014_892_3_1_-64,9998,EMPTY,EMPTY,,,,,892,18,2019,62114014,2G,161,163,58,32.515,61,56.0237
62114014_892_3_1_-65_383,62114014_892_3_1_-65,9998,EMPTY,EMPTY,,,,,892,22,2019,62114014,2G,161,163,58,32.515,61,56.0237
62114014_892_3_1_-66_385,62114014_892_3_1_-66,9998,EMPTY,EMPTY,,,,,892,22.5,2019,62114014,2G,161,163,58,32.515,61,56.0237
62114014_892_3_1_-67_386,62114014_892_3_1_-67,9998,EMPTY,EMPTY,,,,,892,27.9,2019,62114014,2G,161,163,58,32.515,61,56.0237
62114014_892_3_1_-68_392,62114014_892_3_1_-68,999,UNIDENTIFIED FISH,UNIDENTIFIED FISH,,88,3.25,1,892,30.3,2019,62114014,2G,161,163,58,32.515,61,56.0237
62114014_892_3_1_-69_389,62114014_892_3_1_-69,8138,ARGIS DENTATA,SHRIMP,107550,,6.553,1,892,33.2,2019,62114014,2G,161,163,58,32.515,61,56.0237
62114014_892_3_1_-69_390,62114014_892_3_1_-69,999,UNIDENTIFIED FISH,UNIDENTIFIED FISH,,88,0,,892,33.2,2019,62114014,2G,161,163,58,32.515,61,56.0237
62114014_892_3_1_-69_391,62114014_892_3_1_-69,999,UNIDENTIFIED FISH,UNIDENTIFIED FISH,,88,0,,892,33.2,2019,62114014,2G,161,163,58,32.515,61,56.0237
62114014_892_3_1_-70_384,62114014_892_3_1_-70,9998,EMPTY,EMPTY,,,,,892,24,2019,62114014,2G,161,163,58,32.515,61,56.0237
62114014_892_3_1_-71_387,62114014_892_3_1_-71,6930,AMPHIPODA,AMPHIPOD,1135,81,0.285,,892,12.7,2019,62114014,2G,161,163,58,32.515,61,56.0237
62114014_892_3_1_-71_388,62114014_892_3_1_-71,4950,POLYCHAETA,POLYCHAETE,883,81,0.628,,892,12.7,2019,62114014,2G,161,163,58,32.515,61,56.0237
62114087_892_3_1_-1136_411,62114087_892_3_1_-1136,451,BOREOGADUS SAIDA,ARCTIC COD,126433,88,13.925,1,892,36.2,2019,62114087,RISA,225,225,60,32.3094,65,57.3264
