"Prey_OS_ID","Prey_Detail_Code","CommonName_DB","pred.name","PreyWt","Prey_Count","length.range","prey.name","other.prey"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.3,NA,"21-25","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"16-20","other","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.286,NA,"16-20","other","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.091,NA,"16-20","other","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.079,NA,"16-20","other","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.076,NA,"11-15","other","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",3.196,NA,"36-40","other","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",1.769,NA,"26-30","other","other"
4950,81,"POLYCHAETE","Greenland halibut",0.455,NA,"26-30","other","other"
8530,81,"BRITTLE STAR","Greenland halibut",1.019,NA,"31-35","other","other"
8290,81,"SEA CUCUMBER","Greenland halibut",0.661,NA,"31-35","other","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",7.452,NA,"31-35","other","other"
8112,NA,"SHRIMP","Greenland halibut",6.115,1,"31-35","montagui","Shrimp"
8112,NA,"SHRIMP","Greenland halibut",3.235,1,"31-35","montagui","Shrimp"
8112,NA,"SHRIMP","Greenland halibut",2.69,1,"26-30","montagui","Shrimp"
999,81,"UNIDENTIFIED FISH","Greenland halibut",0.143,NA,"26-30","other","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"26-30","other","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"26-30","other","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",1.476,NA,"26-30","other","other"
10763,NA,"Anemone","Greenland halibut",2.786,1,"26-30","other","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.009,NA,"26-30","other","other"
8112,NA,"SHRIMP","Greenland halibut",2.972,1,"26-30","montagui","Shrimp"
8112,NA,"SHRIMP","Greenland halibut",2.185,1,"26-30","montagui","Shrimp"
6967,NA,"HYPERID AMPHIPOD","Greenland halibut",0.025,1,"21-25","other","other"
6000,81,"CRUSTACEAN","Greenland halibut",0.632,NA,"21-25","other","other"
6000,81,"CRUSTACEAN","Skate",4.398,NA,"41-45","other","other"
8093,81,"SHRIMP","Skate",1.131,NA,"41-45","other","other"
8178,NA,"HERMIT CRAB","Skate",1.432,1,"41-45","other","other"
8020,NA,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",3.561,1,"31-35","other","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",1.643,NA,"21-25","other","other"
8112,NA,"SHRIMP","Greenland halibut",0.934,1,"21-25","montagui","Shrimp"
8112,NA,"SHRIMP","Greenland halibut",2.404,2,"21-25","montagui","Shrimp"
717,88,"DAUBED SHANNY","Greenland halibut",6.787,1,"31-35","other","other"
8020,NA,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",7.787,1,"31-35","other","other"
8112,NA,"SHRIMP","Greenland halibut",1.545,1,"16-20","montagui","Shrimp"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",1.475,NA,"16-20","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"16-20","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"21-25","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"21-25","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"26-30","other","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",3.25,1,"26-30","other","other"
8138,NA,"SHRIMP","Greenland halibut",6.553,1,"31-35","other","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"31-35","other","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"31-35","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"21-25","other","other"
6930,81,"AMPHIPOD","Greenland halibut",0.285,NA,"11-15","other","other"
4950,81,"POLYCHAETE","Greenland halibut",0.628,NA,"11-15","other","other"
451,88,"ARCTIC COD","Greenland halibut",13.925,1,"36-40","other","other"
7967,NA,"MYSID","Greenland halibut",0.122,1,"11-15","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"11-15","other","other"
6967,NA,"HYPERID AMPHIPOD","Greenland halibut",0.038,1,"11-15","other","other"
8085,NA,"SHRIMP","Skate",2.623,1,"41-45","other","other"
8085,NA,"SHRIMP","Skate",6.59,2,"41-45","other","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Skate",12.265,NA,"41-45","other","other"
999,81,"UNIDENTIFIED FISH","Skate",3.084,NA,"41-45","other","other"
999,88,"UNIDENTIFIED FISH","Skate",0,NA,"41-45","other","other"
10560,81,"MYSID","Skate",0.442,NA,"41-45","other","other"
6000,81,"CRUSTACEAN","Skate",11.02,NA,"41-45","other","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Skate",9.855,NA,"26-30","other","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Skate",7.128,NA,"36-40","other","other"
9998,NA,"EMPTY","Skate",NA,NA,"41-45","other","other"
9998,NA,"EMPTY","Skate",NA,NA,"51-55","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"11-15","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"11-15","other","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",0.184,NA,"71-75","other","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",0.182,NA,"71-75","Unidentified material","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"71-75","other","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"71-75","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"71-75","other","other"
272,88,"LANTERNFISHES","Greenland halibut",5.983,1,"66-70","other","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",11.124,NA,"66-70","other","other"
451,88,"ARCTIC COD","Greenland halibut",0,NA,"66-70","other","other"
451,88,"ARCTIC COD","Greenland halibut",0,NA,"66-70","other","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",15.982,NA,"66-70","Unidentified material","other"
10016,NA,"GAMMARID AMPHIPOD","Greenland halibut",1.276,1,"66-70","other","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",0.558,NA,"66-70","other","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",1.707,NA,"66-70","Unidentified material","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"76-80","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"66-70","other","other"
