"ContentKey","FishKey","Prey_OS_ID","ScientificName_W","CommonName_DB","Prey_Detail_Code","PreyWt","Prey_Count","OS_ID","Length","Year","Trawl_ID","Study.Area","Start.Depth","End.Depth","Start.Lat.Degree","Start.Lat.Minutes","Start.Long.Degree","Start.Long.Minutes","Phylum","Order","region","pred.name","depth","length.range"
"62114003_892_3_1_-11_1738","62114003_892_3_1_-11",8112,"Pandalus montagui","SHRIMP",NA,2.185,1,892,26.5,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Arthropoda","Decapoda","SFA4","Greenland halibut","200-300 m","26-30"
"62114003_892_3_1_-12_1735","62114003_892_3_1_-12",6967,"Themisto","HYPERID AMPHIPOD",NA,0.025,1,892,21.2,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Arthropoda","Amphipoda","SFA4","Greenland halibut","200-300 m","21-25"
"62114003_892_3_1_-13_1734","62114003_892_3_1_-13",6000,"Crustacea","CRUSTACEAN",81,0.632,NA,892,25,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Arthropoda",NA,"SFA4","Greenland halibut","200-300 m","21-25"
"62114004_95_3_1_-36_1553","62114004_95_3_1_-36",6000,"Crustacea","CRUSTACEAN",81,4.398,NA,95,45.5,2019,62114004,"2G",290,289,57,48.3727,60,23.5588,"Arthropoda",NA,"SFA4","Skate","200-300 m","41-45"
"62114004_95_3_1_-36_1554","62114004_95_3_1_-36",8093,"Lebbeus polaris","SHRIMP",81,1.131,NA,95,45.5,2019,62114004,"2G",290,289,57,48.3727,60,23.5588,"Arthropoda","Decapoda","SFA4","Skate","200-300 m","41-45"
"62114004_95_3_1_-36_1555","62114004_95_3_1_-36",8178,"Pagurus","HERMIT CRAB",NA,1.432,1,95,45.5,2019,62114004,"2G",290,289,57,48.3727,60,23.5588,"Arthropoda","Decapoda","SFA4","Skate","200-300 m","41-45"
"62114013_892_3_1_-41_1691","62114013_892_3_1_-41",8020,"","SHRIMP/SHRIMP SAMPLE",NA,3.561,1,892,35,2019,62114013,"2G",182,184,58,33.3829,62,5.1611,"Arthropoda","Decapoda","SFA4","Greenland halibut","100-200 m","31-35"
"62114013_892_3_1_1005_1679","62114013_892_3_1_1005",8020,"","SHRIMP/SHRIMP SAMPLE",81,1.643,NA,892,25.3,2019,62114013,"2G",182,184,58,33.3829,62,5.1611,"Arthropoda","Decapoda","SFA4","Greenland halibut","100-200 m","21-25"
"62114013_892_3_1_1005_1680","62114013_892_3_1_1005",8112,"Pandalus montagui","SHRIMP",NA,0.934,1,892,25.3,2019,62114013,"2G",182,184,58,33.3829,62,5.1611,"Arthropoda","Decapoda","SFA4","Greenland halibut","100-200 m","21-25"
"62114013_892_3_1_1005_1681","62114013_892_3_1_1005",8112,"Pandalus montagui","SHRIMP",NA,2.404,2,892,25.3,2019,62114013,"2G",182,184,58,33.3829,62,5.1611,"Arthropoda","Decapoda","SFA4","Greenland halibut","100-200 m","21-25"
"62114013_892_3_1_-42_1692","62114013_892_3_1_-42",717,"Leptoclinus maculatus","DAUBED SHANNY",88,6.787,1,892,34,2019,62114013,"2G",182,184,58,33.3829,62,5.1611,"Chordata","Perciformes","SFA4","Greenland halibut","100-200 m","31-35"
"62114013_892_3_1_-42_1693","62114013_892_3_1_-42",8020,"","SHRIMP/SHRIMP SAMPLE",NA,7.787,1,892,34,2019,62114013,"2G",182,184,58,33.3829,62,5.1611,"Arthropoda","Decapoda","SFA4","Greenland halibut","100-200 m","31-35"
"62114014_892_3_1_-63_380","62114014_892_3_1_-63",8112,"Pandalus montagui","SHRIMP",NA,1.545,1,892,19,2019,62114014,"2G",161,163,58,32.515,61,56.0237,"Arthropoda","Decapoda","SFA4","Greenland halibut","100-200 m","16-20"
"62114014_892_3_1_-63_381","62114014_892_3_1_-63",8020,"","SHRIMP/SHRIMP SAMPLE",81,1.475,NA,892,19,2019,62114014,"2G",161,163,58,32.515,61,56.0237,"Arthropoda","Decapoda","SFA4","Greenland halibut","100-200 m","16-20"
"62114014_892_3_1_-64_382","62114014_892_3_1_-64",9998,"Empty","EMPTY",NA,NA,NA,892,18,2019,62114014,"2G",161,163,58,32.515,61,56.0237,NA,NA,"SFA4","Greenland halibut","100-200 m","16-20"
"62114014_892_3_1_-65_383","62114014_892_3_1_-65",9998,"Empty","EMPTY",NA,NA,NA,892,22,2019,62114014,"2G",161,163,58,32.515,61,56.0237,NA,NA,"SFA4","Greenland halibut","100-200 m","21-25"
"62114014_892_3_1_-66_385","62114014_892_3_1_-66",9998,"Empty","EMPTY",NA,NA,NA,892,22.5,2019,62114014,"2G",161,163,58,32.515,61,56.0237,NA,NA,"SFA4","Greenland halibut","100-200 m","21-25"
"62114014_892_3_1_-67_386","62114014_892_3_1_-67",9998,"Empty","EMPTY",NA,NA,NA,892,27.9,2019,62114014,"2G",161,163,58,32.515,61,56.0237,NA,NA,"SFA4","Greenland halibut","100-200 m","26-30"
"62114014_892_3_1_-68_392","62114014_892_3_1_-68",999,"Unidentifiable Pisces","UNIDENTIFIED FISH",88,3.25,1,892,30.3,2019,62114014,"2G",161,163,58,32.515,61,56.0237,"Pisces",NA,"SFA4","Greenland halibut","100-200 m","26-30"
"62114014_892_3_1_-69_389","62114014_892_3_1_-69",8138,"Argis dentata","SHRIMP",NA,6.553,1,892,33.2,2019,62114014,"2G",161,163,58,32.515,61,56.0237,"Arthropoda","Decapoda","SFA4","Greenland halibut","100-200 m","31-35"
"62114014_892_3_1_-69_390","62114014_892_3_1_-69",999,"Unidentifiable Pisces","UNIDENTIFIED FISH",88,0,NA,892,33.2,2019,62114014,"2G",161,163,58,32.515,61,56.0237,"Pisces",NA,"SFA4","Greenland halibut","100-200 m","31-35"
"62114014_892_3_1_-69_391","62114014_892_3_1_-69",999,"Unidentifiable Pisces","UNIDENTIFIED FISH",88,0,NA,892,33.2,2019,62114014,"2G",161,163,58,32.515,61,56.0237,"Pisces",NA,"SFA4","Greenland halibut","100-200 m","31-35"
